feature,importance
ft_theta_pli_std,0.07673288943281877
theta_pli_std,0.06819575213243301
ft_theta_pli_mean,0.06730398066343364
theta_pli_mean,0.06712957665565931
gamma_pli_std,0.03915278019531129
theta_modularity,0.03040320973280302
theta_power_std,0.029843999295425968
gamma_pli_mean,0.02949274400075425
beta_global_efficiency,0.023042934211547315
theta_clustering_coefficient,0.022391108585801213
theta_path_length,0.022071912662006067
theta_global_efficiency,0.021703150250389807
alpha_pli_std,0.020781826842074115
gamma_clustering_coefficient,0.020498294566697127
delta_path_length,0.02046116769214415
delta_pli_std,0.01951764383732129
delta_global_efficiency,0.019260743636957102
beta_pli_std,0.018404877720369184
delta_power_mean,0.018050243929882984
beta_modularity,0.017546754920226098
whole_brain_global_efficiency,0.01726055668426428
alpha_modularity,0.016942341858023496
whole_brain_clustering_coefficient,0.016712484888229764
alpha_global_efficiency,0.01667709243856751
beta_path_length,0.015779998991784443
alpha_pli_mean,0.01519912863579428
delta_pli_mean,0.015148497107780958
ft_theta_path_length,0.015029565234564586
delta_clustering_coefficient,0.01496452565480869
beta_clustering_coefficient,0.014609528850128648
ft_theta_pli_min,0.014448952250600545
gamma_modularity,0.01425927064976515
whole_brain_pli_mean,0.013724202696240816
beta_power_mean,0.013698169905849922
delta_modularity,0.012929387742698962
alpha_clustering_coefficient,0.012825807101641782
alpha_path_length,0.012773917064380176
ft_theta_global_efficiency,0.012467782895980429
whole_brain_pli_max,0.01205801296077537
ft_theta_clustering_coefficient,0.01179293522317335
whole_brain_path_length,0.011615764865487495
beta_pli_mean,0.010854464535586882
ft_theta_modularity,0.009379649841305352
gamma_global_efficiency,0.009367083828535662
whole_brain_modularity,0.00894476571480453
gamma_path_length,0.008550521415171259
